Ищет работу на должность:,Последнее/нынешнее место работы,Последняя/нынешняя должность,Обновление резюме,Авто,Образование,Пол,Возраст,Опыт работы (месяц),Город,Готовность к переезду,Готовность к командировкам,полная занятость,частичная занятость,проектная работа,стажировка,волонтерство,гибкий график,полный день,сменный график,вахтовый метод,удаленная работа,ЗП (руб)
Менеджер проекта,Ays отель,Старший официант,18.04.2019 19:05,Не указано,среднее специальное,Ж,21,17.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,25000
Комьюнити-менеджер,BitRewards,"Комьюнити-менеджер, райтер, переводчик",13.04.2019 10:25,Не указано,высшее,Ж,24,20.0,Санкт-Петербург,False,False,True,True,False,False,False,True,True,False,False,True,70000
Аналитик,ООО Баранцевское,Инженер по качеству,26.04.2019 03:52,Не указано,высшее,Ж,24,13.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,25000
Инженер,"ЭР-Телеком Холдинг, ЗАО",Инженер,09.04.2019 11:56,Имеется собственный автомобиль,высшее,М,23,10.0,другие,True,True,True,False,False,False,False,False,True,False,False,False,30000
Программист С++,Design Dossier,Программист,22.04.2019 16:06,Не указано,неоконченное высшее,М,22,14.0,Москва,False,True,False,True,True,False,False,True,False,False,False,True,100000
Веб-разработчик,"ООО ""Нефабрика""",Веб-разработчик,22.04.2019 17:28,Имеется собственный автомобиль,среднее специальное,М,21,6.0,город-миллионник,True,True,True,False,False,False,False,True,True,False,False,False,60000
Системный администратор,Сбербанк-Сервис,Старший инженер,07.05.2019 14:40,Имеется собственный автомобиль,неоконченное высшее,М,22,21.0,другие,True,False,True,False,False,False,False,False,True,False,False,False,35000
Оператор видеонаблюдения,ЧОП ЗАКОН,Оператор видеонаблюдения,22.04.2019 12:34,Не указано,неоконченное высшее,М,23,20.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,20000
Аналитик,ООО ГРИНДАТА,Аналитик-стажер,16.04.2019 13:37,Не указано,неоконченное высшее,М,23,3.0,Москва,False,False,True,True,False,False,False,True,True,False,False,False,75000
Системный администратор,Централизованная бухгалтерия администрации Василеостровского района,Администратор вычислительной сети,08.04.2019 07:45,Имеется собственный автомобиль,высшее,М,23,11.0,Санкт-Петербург,False,True,True,True,False,False,False,True,True,True,False,False,30000
Программист-стажер,"ООО ""ИМПУЛЬС""",Инженер-наладчик,19.04.2019 11:09,Не указано,высшее,М,22,19.0,другие,False,True,True,True,False,True,False,True,True,True,False,True,30000
Сетевой администратор,"ООО ""Автопитер""",Сетевой администратор,07.05.2019 17:42,Не указано,среднее специальное,М,20,9.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,60000
